#       time         integral Re         integral Im         integral Re         integral Im
#       r =            32.000000           32.000000           50.000000           50.000000
  14.0000000    5.1363102278e-05   -1.8332090627e-21   -3.6627825640e-06    1.6551631495e-23
  14.2500000    5.1838303781e-05   -2.2325530208e-21   -3.7117553273e-06   -2.7920738173e-23
  14.5000000    5.2081813494e-05   -1.7862880295e-21   -3.7506598901e-06    6.6923309904e-24
  14.7500000    5.1816992105e-05   -1.1836063622e-21   -3.7805889923e-06    3.3052224110e-23
  15.0000000    5.1220894314e-05   -1.5111134359e-21   -3.8038776393e-06    3.7350425132e-23
  15.2500000    5.1068266247e-05   -1.1051213511e-21   -3.8234934122e-06    2.3194921283e-23
  15.5000000    5.2223098183e-05   -2.6494684394e-21   -3.8421993842e-06   -6.0026285527e-23
  15.7500000    5.4652162062e-05   -3.8923751507e-21   -3.8617978902e-06    8.0077394975e-24
  16.0000000    5.6867544786e-05   -3.7223838983e-21   -3.8826915183e-06    2.7420839649e-23
  16.2500000    5.6756581644e-05   -5.2823162263e-22   -3.9038696431e-06   -3.6440590022e-23
  16.5000000    5.3633958638e-05    3.0782606642e-21   -3.9233182744e-06    2.6287973416e-23
  16.7500000    4.9792175571e-05    4.2707101938e-21   -3.9387521936e-06   -3.3255094369e-23
  17.0000000    4.9525960734e-05   -6.3860401564e-22   -3.9484624177e-06    3.2814170195e-23
  17.2500000    5.5517724203e-05   -9.8585256820e-21   -3.9519942502e-06   -1.4066317861e-23
  17.5000000    6.5307703945e-05   -1.6799010793e-20   -3.9503940414e-06    8.3891309583e-23
  17.7500000    7.1522393930e-05   -1.5635959947e-20   -3.9459205497e-06    1.2431688252e-22
  18.0000000    6.7010166736e-05   -2.1374425364e-21   -3.9413451430e-06    1.4428219478e-22
  18.2500000    5.1656579365e-05    1.3370186011e-20   -3.9391368083e-06    1.3870250841e-22
  18.5000000    3.5144520544e-05    2.3412109974e-20   -3.9408425710e-06    1.8571619788e-22
  18.7500000    3.1893480030e-05    2.2172463951e-20   -3.9468378925e-06    2.6252020879e-22
  19.0000000    5.0138009761e-05    7.0128816544e-21   -3.9564326552e-06    2.4283315209e-22
  19.2500000    8.2843595892e-05   -1.6513276939e-20   -3.9681834988e-06    2.7652311751e-22
  19.5000000    1.0913349502e-04   -2.6617163441e-20   -3.9802362261e-06    3.4879255678e-22
  19.7500000    1.0834812834e-04   -3.3733616029e-20   -3.9905785475e-06    2.4397413796e-22
  20.0000000    7.7685307463e-05   -3.7096983964e-20   -3.9971741039e-06    2.2571319289e-22
  20.2500000    3.7911870127e-05   -3.9570378411e-20   -3.9980233536e-06    1.1279581403e-22
  20.5000000    1.8814178489e-05   -3.2133617868e-20   -3.9912276374e-06    5.2790410653e-23
  20.7500000    3.4268889445e-05   -3.0983593208e-22   -3.9751087675e-06    4.0891116759e-23
  21.0000000    6.9604476262e-05    5.0132427198e-20   -3.9483723620e-06   -5.9459054690e-23
  21.2500000    9.5660827970e-05    1.1065013272e-19   -3.9102384240e-06   -4.0379833807e-23
  21.5000000    9.8009989568e-05    1.3148677061e-19   -3.8604436967e-06   -1.7115196329e-22
  21.7500000    9.0900079558e-05    7.5348628838e-20   -3.7990742041e-06   -1.8265193470e-22
  22.0000000    9.8339420655e-05   -3.4360332718e-20   -3.7262904255e-06   -1.5367428712e-22
  22.2500000    1.2022466708e-04   -1.5032824189e-19   -3.6421005191e-06   -1.9618864734e-22
  22.5000000    1.2280287623e-04   -2.0725281996e-19   -3.5463424185e-06   -1.8181006475e-22
  22.7500000    7.1989590264e-05   -1.7839608603e-19   -3.4389070218e-06   -4.0104802112e-23
  23.0000000   -1.8395579957e-05   -7.9030972639e-20   -3.3200149119e-06   -9.7540459777e-24
  23.2500000   -7.7073891255e-05    2.2327473539e-20   -3.1902148131e-06   -1.1100521432e-23
  23.5000000   -2.8371377893e-05    1.0600592244e-19   -3.0499284402e-06   -1.0322363594e-23
  23.7500000    1.3206435712e-04    1.2665326729e-19   -2.8988826202e-06    6.5035191683e-23
  24.0000000    3.1177054651e-04    1.2728557682e-19   -2.7362777846e-06    1.0546103043e-22
  24.2500000    3.8039166287e-04    1.1092730897e-19   -2.5623113702e-06    5.8836851406e-23
  24.5000000    2.7180750026e-04    8.4144838238e-20   -2.3802603305e-06    1.4455876029e-22
  24.7500000    4.4335378451e-05    2.2962436302e-20   -2.1965331499e-06    1.1582813640e-22
  25.0000000   -1.5495839078e-04   -7.3918557413e-20   -2.0161619737e-06    8.6919793479e-23
  25.2500000   -1.9637754038e-04   -1.4130886386e-19   -1.8350896290e-06    6.0074650008e-23
  25.5000000   -5.9787722919e-05   -1.7809361456e-19   -1.6368395070e-06    1.2595596674e-22
  25.7500000    1.5914394806e-04   -1.6347160567e-19   -1.4031951727e-06    7.4029395291e-23
  26.0000000    3.2777040655e-04   -1.0235091003e-19   -1.1387908354e-06    1.1929232272e-22
  26.2500000    3.7140957985e-04   -2.9439807493e-20   -8.8929759326e-07    1.8064402552e-22
  26.5000000    3.1033432582e-04   -4.8473260942e-20   -7.1970304960e-07    1.7009008788e-22
  26.7500000    2.2123484623e-04   -1.2248158117e-19   -6.3855370336e-07    2.0519014956e-22
  27.0000000    1.6803434334e-04   -1.8475845167e-19   -5.1237587410e-07    1.2496497046e-22
  27.2500000    1.6053054132e-04   -2.0261629103e-19   -7.3413230222e-08    2.0277088134e-22
  27.5000000    1.6273502210e-04   -5.5213492891e-20    8.8904915413e-07    4.3321522885e-22
  27.7500000    1.3001835120e-04    1.9304790537e-19    2.1937522895e-06    8.9249192900e-22
  28.0000000    4.1678634329e-05    5.2016254600e-19    3.0249442141e-06    9.7850676403e-22
  28.2500000   -8.8928820276e-05    8.4575540960e-19    2.1254612964e-06    6.6357826624e-22
  28.5000000   -2.2363611140e-04    9.4502751690e-19   -1.3760563812e-06   -4.5083248079e-22
  28.7500000   -3.1362944559e-04    7.8676944374e-19   -6.7321595732e-06   -1.8372803561e-21
  29.0000000   -3.0819293884e-04    3.3972392195e-19   -1.0694202573e-05   -2.1458585098e-21
  29.2500000   -1.6483357608e-04   -3.0048814872e-19   -8.0186046150e-06    1.4463329239e-22
  29.5000000    1.2594678437e-04   -8.9989865606e-19    5.9338906204e-06    4.3630624941e-21
  29.7500000    5.0667405919e-04   -1.2880091447e-18    3.0933514480e-05    8.1980443868e-21
  30.0000000    8.4104902964e-04   -1.3589508778e-18    5.8044437704e-05    6.1863815401e-21
  30.2500000    9.5657231283e-04   -1.0887357338e-18    6.9579757517e-05   -8.0596207095e-22
  30.5000000    7.3431830551e-04   -5.4298833742e-19    4.5670772641e-05   -8.2031030801e-21
  30.7500000    1.9096158268e-04    1.4266367024e-19   -2.3064319210e-05   -1.0575000538e-20
  31.0000000   -5.0615587714e-04    7.9085508119e-19   -1.2252010593e-04   -2.9724166548e-21
  31.2500000   -1.1034499885e-03    1.1511342664e-18   -2.1132476234e-04    8.0426264949e-21
  31.5000000   -1.3659445892e-03    1.1681481303e-18   -2.3387614473e-04    3.5182518311e-21
  31.7500000   -1.1703948222e-03    9.6344534073e-19   -1.4862226288e-04   -3.1893684917e-20
  32.0000000   -5.5496548953e-04    4.6422073557e-19    4.1995221393e-05   -7.1495322195e-20
  32.2500000    2.8474586601e-04    1.0507882619e-19    2.7950866543e-04   -7.7809336655e-20
  32.5000000    1.0545560429e-03   -1.0334756583e-19    4.6784122100e-04    1.3438621199e-20
  32.7500000    1.4662723746e-03   -1.3997199811e-20    5.1656822675e-04    1.6780703380e-19
  33.0000000    1.3552452451e-03    7.0893017725e-20    3.8602227812e-04    3.2892275295e-19
  33.2500000    7.5646247942e-04    1.6731974741e-19    1.0827089115e-04    3.4310685709e-19
  33.5000000   -1.0738703757e-04   -9.8176997729e-20   -2.2682998567e-04    1.5622065069e-19
  33.7500000   -9.2671643903e-04   -5.6341235651e-19   -5.0910254649e-04   -2.3067637240e-19
  34.0000000   -1.4415657467e-03   -1.1398471551e-18   -6.4607314331e-04   -6.3479668838e-19
  34.2500000   -1.5397268168e-03   -1.5236188470e-18   -5.8635475567e-04   -8.2015519045e-19
  34.5000000   -1.2705619027e-03   -1.5262735416e-18   -3.3070366926e-04   -6.2674776582e-19
  34.7500000   -7.8465676893e-04   -9.7992774833e-19    5.9523952746e-05   -1.9902761841e-20
  35.0000000   -2.5044192658e-04   -9.6478607217e-20    4.5966420071e-04    5.7456544842e-19
  35.2500000    2.0261432155e-04    8.0689936874e-19    7.0553597101e-04    9.4463593314e-19
  35.5000000    4.9964881231e-04    1.4533999143e-18    6.6011112895e-04    9.1196368322e-19
  35.7500000    6.1253300535e-04    1.7192742434e-18    3.0261363245e-04    5.1292741588e-19
  36.0000000    5.5027410550e-04    1.4937094529e-18   -2.2063643379e-04   -2.2458240729e-21
  36.2500000    3.5288054553e-04    9.0755192688e-19   -6.4218141252e-04   -4.8400761309e-19
  36.5000000    8.0230410032e-05    2.3229001729e-19   -7.1463423191e-04   -7.2048310889e-19
  36.7500000   -2.0846502091e-04   -4.4790985807e-19   -3.6643847054e-04   -7.4911347163e-19
  37.0000000   -4.7474775252e-04   -9.5037265822e-19    2.3722180381e-04   -5.4667802319e-19
  37.2500000   -7.0484799303e-04   -1.1533253982e-18    7.8143034907e-04   -9.7874151585e-20
  37.5000000   -8.9273971940e-04   -1.1597712779e-18    9.8444500818e-04    4.5693584958e-19
