#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
  20.0000000    7.3732666478e+01    6.4000000000e+01   -1.3923897324e-22    5.4267333522e+01    6.4000000000e+01    7.7461950464e-23
  20.5000000    7.3730113682e+01    6.4000000000e+01   -1.3923897324e-22    5.4269886318e+01    6.4000000000e+01    7.7668745617e-23
  21.0000000    7.3727811730e+01    6.4000000000e+01   -1.3872198536e-22    5.4272188270e+01    6.4000000000e+01    7.7978938347e-23
  21.5000000    7.3725463560e+01    6.4000000000e+01   -1.3882538293e-22    5.4274536440e+01    6.4000000000e+01    7.8185733500e-23
  22.0000000    7.3723067107e+01    6.4000000000e+01   -1.3892878051e-22    5.4276932893e+01    6.4000000000e+01    7.8495926230e-23
  22.5000000    7.3720727218e+01    6.4000000000e+01   -1.3882538293e-22    5.4279272782e+01    6.4000000000e+01    7.8495926230e-23
  23.0000000    7.3718465503e+01    6.4000000000e+01   -1.3861858778e-22    5.4281534497e+01    6.4000000000e+01    7.9116311689e-23
  23.5000000    7.3716228426e+01    6.4000000000e+01   -1.3872198536e-22    5.4283771574e+01    6.4000000000e+01    7.8806118959e-23
  24.0000000    7.3713938986e+01    6.4000000000e+01   -1.3872198536e-22    5.4286061014e+01    6.4000000000e+01    7.8806118959e-23
  24.5000000    7.3711510357e+01    6.4000000000e+01   -1.3872198536e-22    5.4288489643e+01    6.4000000000e+01    7.8806118959e-23
  25.0000000    7.3708881510e+01    6.4000000000e+01   -1.3872198536e-22    5.4291118490e+01    6.4000000000e+01    7.8806118959e-23
  25.5000000    7.3706075223e+01    6.4000000000e+01   -1.3872198536e-22    5.4293924777e+01    6.4000000000e+01    7.8806118959e-23
  26.0000000    7.3703208910e+01    6.4000000000e+01   -1.3872198536e-22    5.4296791090e+01    6.4000000000e+01    7.8806118959e-23
  26.5000000    7.3700436607e+01    6.4000000000e+01   -1.3872198536e-22    5.4299563393e+01    6.4000000000e+01    7.8806118959e-23
