#       time         integral Re         integral Im         integral Re         integral Im
#       r =            32.000000           32.000000           50.000000           50.000000
   0.0000000   -8.6159668798e-05    2.9394599132e-15   -1.9344168241e-06    3.7620844997e-12
   0.2500000   -8.5400014189e-05    3.1909416278e-16   -1.7875783731e-06   -1.0103785390e-09
   0.5000000   -8.4646799951e-05    7.0331069652e-16   -1.6510357270e-06   -6.2674335944e-10
   0.7500000   -8.3900228310e-05    3.4468508340e-16   -1.5152384317e-06   -1.9187981673e-10
   1.0000000   -8.3160508289e-05   -6.7675171303e-17   -1.3779533707e-06    4.5528413819e-11
   1.2500000   -8.2427855946e-05    1.3648298033e-16   -1.2369898373e-06   -3.8584403576e-13
   1.5000000   -8.1702494686e-05    5.4365261769e-16   -1.0927576233e-06   -1.1911378517e-10
   1.7500000   -8.0984655447e-05    2.8208033642e-16   -9.4897636014e-07   -6.8804690672e-11
   2.0000000   -8.0274577050e-05    6.4797157471e-16   -8.0947849810e-07    5.1654867241e-11
   2.2500000   -7.9572506434e-05    1.6151437158e-15   -6.7479259615e-07   -1.0096539019e-10
   2.5000000   -7.8878698984e-05    9.2917304032e-16   -5.4248699812e-07   -6.1237818769e-10
   2.7500000   -7.8193418821e-05   -1.2558054451e-15   -4.1006417792e-07   -1.0778835226e-09
   3.0000000   -7.7516939143e-05    2.9640027765e-16   -2.7683229076e-07   -9.6925389387e-10
   3.2500000   -7.6849542511e-05    4.1914592920e-16   -1.4343878811e-07   -1.8752006039e-10
   3.5000000   -7.6191521208e-05    3.2170619452e-15   -1.0541087262e-08    7.9229859231e-10
   3.7500000   -7.5543177605e-05    2.2658346369e-15    1.2167317852e-07    1.3161397485e-09
   4.0000000   -7.4904824501e-05   -1.9271128828e-15    2.5307361753e-07    1.0876611247e-09
   4.2500000   -7.4276785489e-05   -2.1286000840e-16    3.8327844992e-07    3.5878178655e-10
   4.5000000   -7.3659395341e-05   -4.2064532631e-16    5.1188360011e-07   -3.3327876304e-10
   4.7500000   -7.3053000429e-05    1.7516991384e-15    6.3881055531e-07   -5.7849440557e-10
   5.0000000   -7.2457959047e-05   -3.5255279793e-16    7.6435104577e-07   -3.1581185819e-10
   5.2500000   -7.1874641922e-05   -3.8629519519e-16    8.8893363818e-07    2.2057904407e-10
   5.5000000   -7.1303432583e-05   -6.5041908259e-16    1.0128269699e-06    7.0516223857e-10
   5.7500000   -7.0744727752e-05   -1.7854499829e-18    1.1359564677e-06    9.1693785744e-10
   6.0000000   -7.0198937819e-05    4.8744146624e-16    1.2579569938e-06    8.2953409538e-10
   6.2500000   -6.9666487376e-05    1.0011186277e-15    1.3784450790e-06    5.7623709737e-10
   6.5000000   -6.9147815842e-05    4.0111081606e-15    1.4972972117e-06    3.3811150170e-10
   6.7500000   -6.8643377843e-05    2.2903385613e-15    1.6147115012e-06    2.3109843156e-10
   7.0000000   -6.8153642996e-05    1.3585472906e-15    1.7310454590e-06    2.4964272408e-10
