#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
   0.0000000   -7.4950518926e-16   -3.3402661689e-16    5.5029898978e-17   -1.6233932771e-16
   0.2500000    2.4100317940e-15   -7.2031311256e-16   -9.9068092705e-16   -1.7248452740e-16
   0.5000000    8.7889162084e-16    1.9695751567e-15   -7.7940914490e-16    1.1188717533e-15
   0.7500000   -9.9063088906e-16    1.8899304427e-15    1.0619886009e-16   -9.7785005946e-17
   1.0000000   -3.9378418669e-15   -1.5122971247e-15   -1.6577918149e-15    6.6877433357e-17
   1.2500000    1.2719244426e-15    3.4195054593e-15   -2.1727054177e-15    5.8882929391e-16
   1.5000000    1.8271342819e-17    2.0416745110e-15   -4.1162641665e-16    1.1365872278e-15
   1.7500000   -6.4270986112e-16   -3.0811481318e-16   -2.5400609046e-16    4.9521440338e-16
   2.0000000   -6.9091170204e-16   -3.1682116367e-15   -1.4291040845e-15   -3.6456898609e-15
