#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
   0.0000000    3.9276037466e-16   -3.9037730632e-17    6.9052857502e-17   -1.0310704643e-17
   0.2500000    1.0285013389e-16   -1.3969173289e-16    1.1358796063e-15   -5.6748236867e-16
   0.5000000   -5.0923909610e-16    4.2047299305e-16   -2.3564739172e-15   -1.7309933488e-15
   0.7500000    2.1680141726e-15    4.6857554154e-16    5.2611795665e-16   -4.9246167667e-17
   1.0000000    3.0098360108e-15    1.0312358215e-15    1.4070804421e-15    2.4470995482e-16
   1.2500000    3.0841760710e-16    9.3121487096e-16   -1.1936390425e-15   -1.1128805057e-15
   1.5000000    3.7586361351e-16   -2.2278236159e-15    2.4661049193e-15    1.2895555213e-15
   1.7500000   -1.6903251915e-15   -7.0730469544e-16   -1.4636753892e-15    8.6999590379e-17
   2.0000000    2.1141434183e-16   -4.3953361706e-16   -9.0460479164e-16   -2.3806391167e-15
