#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
   0.0000000   -2.2969770659e-05    1.4356134453e-20   -1.3112344727e-07    1.4060171127e-22
   0.2500000   -2.2574902069e-05    1.2671501925e-20   -6.9503701033e-08    1.2234471161e-22
   0.5000000   -2.2181168060e-05    1.3595171824e-20   -2.0478909646e-08    1.2834768619e-22
   0.7500000   -2.1788723420e-05    1.4189191265e-20    4.9845213759e-09    1.3177588288e-22
   1.0000000   -2.1397723903e-05    1.2682880280e-20   -9.8617089134e-09    1.0648812065e-22
   1.2500000   -2.1008326644e-05    1.2941760729e-20   -3.5363862590e-08    1.1224458204e-22
   1.5000000   -2.0620690676e-05    1.2365229701e-20   -2.8610521937e-08    1.1769397527e-22
   1.7500000   -2.0234977305e-05    1.3046497189e-20    2.1361285669e-08    1.2264499495e-22
   2.0000000   -1.9851350635e-05    1.2355763594e-20    8.6591103996e-08    1.1653251258e-22
