#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
   0.0000000    9.9095168390e-05    5.8962287585e-21    1.5052397633e-06    4.1751431959e-23
   0.2500000    9.8289867997e-05    6.5427838189e-21    1.3333196737e-06    3.9941807515e-23
   0.5000000    9.7492576480e-05    6.1076342548e-21    1.2328788528e-06    4.1907345437e-23
   0.7500000    9.6703463294e-05    8.1439272251e-21    1.1622757240e-06    5.6260544762e-23
   1.0000000    9.5922709180e-05    5.8897444055e-21    1.0785518459e-06    3.2452103249e-23
   1.2500000    9.5150506198e-05    6.5299925593e-21    9.6918363464e-07    4.1998940801e-23
   1.5000000    9.4387057911e-05    6.3472226053e-21    8.4606612033e-07    4.5973103134e-23
   1.7500000    9.3632579414e-05    5.3487179956e-21    7.2173933219e-07    4.4336270929e-23
   2.0000000    9.2887297493e-05    6.9614756013e-21    5.9940465667e-07    4.1547524242e-23
