#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
   0.0000000   -7.7106832871e-16   -6.7992740081e-17   -4.6876106534e-17    2.4640345075e-18
   0.2500000   -4.2530240480e-16   -9.0953201330e-16    1.3797114531e-15   -9.1493121122e-16
   0.5000000    1.2264526344e-15   -1.1364760606e-15    2.4790491362e-15    1.3061425476e-15
   0.7500000    3.6608175000e-15    9.3114994082e-16    2.4180021714e-15   -7.8294606695e-16
   1.0000000    8.1661203824e-16    1.1944536001e-15   -7.8184501882e-16    4.5552819339e-16
   1.2500000   -1.1573516162e-15   -7.5505410883e-16   -4.6062691854e-16   -2.7327085118e-15
   1.5000000    2.2691247333e-15    1.0704280580e-15    2.4804552539e-15   -6.9275601503e-17
   1.7500000    7.2565557900e-16    8.3399287586e-16   -3.6458339361e-16    8.1940818435e-16
   2.0000000   -2.7264516441e-15   -1.4902946401e-15    1.0562873385e-15   -4.7133510840e-15
