#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
   0.0000000    2.4243350934e-05   -9.6615628571e-18    1.1238093414e-07    7.2824031221e-17
   0.2500000    2.3805386163e-05   -3.7938258775e-16    8.9235873780e-08   -3.6870258881e-16
   0.5000000    2.3369635277e-05   -8.2059972536e-16    6.4903807929e-08   -5.1886475192e-16
   0.7500000    2.2936199348e-05    3.2503250625e-16    3.9767829926e-08    2.2339723963e-16
   1.0000000    2.2505184009e-05    3.9043979395e-16    1.5024942198e-08    1.5373122055e-15
   1.2500000    2.2076699717e-05   -7.5981854752e-16   -8.0690326225e-09    3.0644443906e-17
   1.5000000    2.1650862015e-05    9.7458477431e-16   -2.9495287191e-08   -1.1027536553e-17
   1.7500000    2.1227791827e-05    2.2427412656e-15   -5.0401991193e-08    1.7803858056e-15
   2.0000000    2.0807615752e-05   -6.2048589823e-16   -7.2004244584e-08   -3.5086540900e-16
