#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
   0.0000000   -1.2161290048e-04   -1.1123716655e-17   -1.9376539483e-06   -3.3656628524e-17
   0.2500000   -1.2064727334e-04   -6.4305463601e-16   -1.7946884637e-06    4.5454676370e-16
   0.5000000   -1.1969026276e-04   -4.0085720183e-16   -1.6509228689e-06   -1.0716139298e-15
   0.7500000   -1.1874215655e-04    7.8219170374e-16   -1.5074077647e-06    1.7637383600e-15
   1.0000000   -1.1780325179e-04   -4.1978505411e-16   -1.3662768850e-06    1.6302173555e-15
   1.2500000   -1.1687385511e-04   -1.5566291672e-15   -1.2278241789e-06   -1.0061973193e-15
   1.5000000   -1.1595428314e-04    1.4241847401e-15   -1.0908898756e-06    1.3934036542e-15
   1.7500000   -1.1504486284e-04    1.4056788994e-15   -9.5427547253e-07    1.6877479303e-15
   2.0000000   -1.1414593186e-04   -1.5702142896e-16   -8.1764289612e-07   -1.3741563693e-15
