#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
   0.0000000    5.4000000000e+01    6.4000000000e+01    0.0000000000e+00    7.4000000000e+01    6.4000000000e+01    0.0000000000e+00
   0.5000000    5.4002183584e+01    6.4000000000e+01   -9.2799324971e-24    7.3997816416e+01    6.4000000000e+01    3.5025929063e-24
   0.5000000    5.4002183584e+01    6.4000000000e+01   -9.2799324971e-24    7.3997816416e+01    6.4000000000e+01    3.5025929063e-24
   0.5000000    5.4002183584e+01    6.4000000000e+01   -9.2799324971e-24    7.3997816416e+01    6.4000000000e+01    3.5025929063e-24
   0.5000000    5.4002183584e+01    6.4000000000e+01   -9.2799324971e-24    7.3997816416e+01    6.4000000000e+01    3.5025929063e-24
   0.5000000    5.4002183584e+01    6.4000000000e+01   -9.2799324971e-24    7.3997816416e+01    6.4000000000e+01    3.5025929063e-24
   0.5000000    5.4002183584e+01    6.4000000000e+01   -9.2799324971e-24    7.3997816416e+01    6.4000000000e+01    3.5025929063e-24
   0.5000000    5.4002183584e+01    6.4000000000e+01   -9.2799324971e-24    7.3997816416e+01    6.4000000000e+01    3.5025929063e-24
   0.5000000    5.4002183584e+01    6.4000000000e+01   -9.2799324971e-24    7.3997816416e+01    6.4000000000e+01    3.5025929063e-24
   1.0000000    5.4013763098e+01    6.4000000000e+01   -4.3168488218e-24    7.3986236902e+01    6.4000000000e+01   -1.8004103020e-23
   1.0000000    5.4013763098e+01    6.4000000000e+01   -4.3168488218e-24    7.3986236902e+01    6.4000000000e+01   -1.8004103020e-23
   1.0000000    5.4013763098e+01    6.4000000000e+01   -4.3168488218e-24    7.3986236902e+01    6.4000000000e+01   -1.8004103020e-23
   1.0000000    5.4013763098e+01    6.4000000000e+01   -4.3168488218e-24    7.3986236902e+01    6.4000000000e+01   -1.8004103020e-23
   1.0000000    5.4013763098e+01    6.4000000000e+01   -4.3168488218e-24    7.3986236902e+01    6.4000000000e+01   -1.8004103020e-23
   1.0000000    5.4013763098e+01    6.4000000000e+01   -4.3168488218e-24    7.3986236902e+01    6.4000000000e+01   -1.8004103020e-23
   1.0000000    5.4013763098e+01    6.4000000000e+01   -4.3168488218e-24    7.3986236902e+01    6.4000000000e+01   -1.8004103020e-23
   1.0000000    5.4013763098e+01    6.4000000000e+01   -4.3168488218e-24    7.3986236902e+01    6.4000000000e+01   -1.8004103020e-23
   1.5000000    5.4032667488e+01    6.4000000000e+01   -4.3168488218e-24    7.3967332512e+01    6.4000000000e+01   -1.8004103020e-23
   1.5000000    5.4032667488e+01    6.4000000000e+01   -4.3168488218e-24    7.3967332512e+01    6.4000000000e+01   -1.8004103020e-23
   1.5000000    5.4032667488e+01    6.4000000000e+01   -4.3168488218e-24    7.3967332512e+01    6.4000000000e+01   -1.8004103020e-23
   1.5000000    5.4032667488e+01    6.4000000000e+01   -4.3168488218e-24    7.3967332512e+01    6.4000000000e+01   -1.8004103020e-23
   1.5000000    5.4032667488e+01    6.4000000000e+01   -4.3168488218e-24    7.3967332512e+01    6.4000000000e+01   -1.8004103020e-23
   1.5000000    5.4032667488e+01    6.4000000000e+01   -4.3168488218e-24    7.3967332512e+01    6.4000000000e+01   -1.8004103020e-23
   1.5000000    5.4032667488e+01    6.4000000000e+01   -4.3168488218e-24    7.3967332512e+01    6.4000000000e+01   -1.8004103020e-23
   1.5000000    5.4032667488e+01    6.4000000000e+01   -4.3168488218e-24    7.3967332512e+01    6.4000000000e+01   -1.8004103020e-23
   2.0000000    5.4055312980e+01    6.4000000000e+01   -4.3168488218e-24    7.3944687020e+01    6.4000000000e+01   -1.8004103020e-23
   2.0000000    5.4055312980e+01    6.4000000000e+01   -4.3168488218e-24    7.3944687020e+01    6.4000000000e+01   -1.8004103020e-23
   2.0000000    5.4055312980e+01    6.4000000000e+01   -4.3168488218e-24    7.3944687020e+01    6.4000000000e+01   -1.8004103020e-23
   2.0000000    5.4055312980e+01    6.4000000000e+01   -4.3168488218e-24    7.3944687020e+01    6.4000000000e+01   -1.8004103020e-23
   2.0000000    5.4055312980e+01    6.4000000000e+01   -4.3168488218e-24    7.3944687020e+01    6.4000000000e+01   -1.8004103020e-23
   2.0000000    5.4055312980e+01    6.4000000000e+01   -4.3168488218e-24    7.3944687020e+01    6.4000000000e+01   -1.8004103020e-23
   2.0000000    5.4055312980e+01    6.4000000000e+01   -4.3168488218e-24    7.3944687020e+01    6.4000000000e+01   -1.8004103020e-23
   2.0000000    5.4055312980e+01    6.4000000000e+01   -4.3168488218e-24    7.3944687020e+01    6.4000000000e+01   -1.8004103020e-23
   2.5000000    5.4080135523e+01    6.4000000000e+01   -1.1019596723e-22    7.3919864477e+01    6.4000000000e+01    3.4935456183e-23
   2.5000000    5.4080135523e+01    6.4000000000e+01   -1.1019596723e-22    7.3919864477e+01    6.4000000000e+01    3.4935456183e-23
   2.5000000    5.4080135523e+01    6.4000000000e+01   -1.1019596723e-22    7.3919864477e+01    6.4000000000e+01    3.4935456183e-23
   2.5000000    5.4080135523e+01    6.4000000000e+01   -1.1019596723e-22    7.3919864477e+01    6.4000000000e+01    3.4935456183e-23
   2.5000000    5.4080135523e+01    6.4000000000e+01   -1.1019596723e-22    7.3919864477e+01    6.4000000000e+01    3.4935456183e-23
   2.5000000    5.4080135523e+01    6.4000000000e+01   -1.1019596723e-22    7.3919864477e+01    6.4000000000e+01    3.4935456183e-23
   2.5000000    5.4080135523e+01    6.4000000000e+01   -1.1019596723e-22    7.3919864477e+01    6.4000000000e+01    3.4935456183e-23
   2.5000000    5.4080135523e+01    6.4000000000e+01   -1.1019596723e-22    7.3919864477e+01    6.4000000000e+01    3.4935456183e-23
   3.0000000    5.4106436286e+01    6.4000000000e+01   -9.6961077428e-23    7.3893563714e+01    6.4000000000e+01   -8.4178552024e-23
   3.0000000    5.4106436286e+01    6.4000000000e+01   -9.6961077428e-23    7.3893563714e+01    6.4000000000e+01   -8.4178552024e-23
   3.0000000    5.4106436286e+01    6.4000000000e+01   -9.6961077428e-23    7.3893563714e+01    6.4000000000e+01   -8.4178552024e-23
   3.0000000    5.4106436286e+01    6.4000000000e+01   -9.6961077428e-23    7.3893563714e+01    6.4000000000e+01   -8.4178552024e-23
   3.0000000    5.4106436286e+01    6.4000000000e+01   -9.6961077428e-23    7.3893563714e+01    6.4000000000e+01   -8.4178552024e-23
   3.0000000    5.4106436286e+01    6.4000000000e+01   -9.6961077428e-23    7.3893563714e+01    6.4000000000e+01   -8.4178552024e-23
   3.0000000    5.4106436286e+01    6.4000000000e+01   -9.6961077428e-23    7.3893563714e+01    6.4000000000e+01   -8.4178552024e-23
   3.0000000    5.4106436286e+01    6.4000000000e+01   -9.6961077428e-23    7.3893563714e+01    6.4000000000e+01   -8.4178552024e-23
   3.5000000    5.4133029849e+01    6.4000000000e+01   -1.4824627541e-22    7.3866970151e+01    6.4000000000e+01   -1.6193352960e-22
   3.5000000    5.4133029849e+01    6.4000000000e+01   -1.4824627541e-22    7.3866970151e+01    6.4000000000e+01   -1.6193352960e-22
   3.5000000    5.4133029849e+01    6.4000000000e+01   -1.4824627541e-22    7.3866970151e+01    6.4000000000e+01   -1.6193352960e-22
   3.5000000    5.4133029849e+01    6.4000000000e+01   -1.4824627541e-22    7.3866970151e+01    6.4000000000e+01   -1.6193352960e-22
   3.5000000    5.4133029849e+01    6.4000000000e+01   -1.4824627541e-22    7.3866970151e+01    6.4000000000e+01   -1.6193352960e-22
   3.5000000    5.4133029849e+01    6.4000000000e+01   -1.4824627541e-22    7.3866970151e+01    6.4000000000e+01   -1.6193352960e-22
   3.5000000    5.4133029849e+01    6.4000000000e+01   -1.4824627541e-22    7.3866970151e+01    6.4000000000e+01   -1.6193352960e-22
   3.5000000    5.4133029849e+01    6.4000000000e+01   -1.4824627541e-22    7.3866970151e+01    6.4000000000e+01   -1.6193352960e-22
   4.0000000    5.4158534742e+01    6.4000000000e+01   -1.7802477746e-22    7.3841465258e+01    6.4000000000e+01   -1.2553758265e-22
   4.0000000    5.4158534742e+01    6.4000000000e+01   -1.7802477746e-22    7.3841465258e+01    6.4000000000e+01   -1.2553758265e-22
   4.0000000    5.4158534742e+01    6.4000000000e+01   -1.7802477746e-22    7.3841465258e+01    6.4000000000e+01   -1.2553758265e-22
   4.0000000    5.4158534742e+01    6.4000000000e+01   -1.7802477746e-22    7.3841465258e+01    6.4000000000e+01   -1.2553758265e-22
   4.0000000    5.4158534742e+01    6.4000000000e+01   -1.7802477746e-22    7.3841465258e+01    6.4000000000e+01   -1.2553758265e-22
   4.0000000    5.4158534742e+01    6.4000000000e+01   -1.7802477746e-22    7.3841465258e+01    6.4000000000e+01   -1.2553758265e-22
   4.0000000    5.4158534742e+01    6.4000000000e+01   -1.7802477746e-22    7.3841465258e+01    6.4000000000e+01   -1.2553758265e-22
   4.0000000    5.4158534742e+01    6.4000000000e+01   -1.7802477746e-22    7.3841465258e+01    6.4000000000e+01   -1.2553758265e-22
   4.5000000    5.4182158509e+01    6.4000000000e+01   -1.7802477746e-22    7.3817841491e+01    6.4000000000e+01   -1.2553758265e-22
   4.5000000    5.4182158509e+01    6.4000000000e+01   -1.7802477746e-22    7.3817841491e+01    6.4000000000e+01   -1.2553758265e-22
   4.5000000    5.4182158509e+01    6.4000000000e+01   -1.7802477746e-22    7.3817841491e+01    6.4000000000e+01   -1.2553758265e-22
   4.5000000    5.4182158509e+01    6.4000000000e+01   -1.7802477746e-22    7.3817841491e+01    6.4000000000e+01   -1.2553758265e-22
   4.5000000    5.4182158509e+01    6.4000000000e+01   -1.7802477746e-22    7.3817841491e+01    6.4000000000e+01   -1.2553758265e-22
   4.5000000    5.4182158509e+01    6.4000000000e+01   -1.7802477746e-22    7.3817841491e+01    6.4000000000e+01   -1.2553758265e-22
   4.5000000    5.4182158509e+01    6.4000000000e+01   -1.7802477746e-22    7.3817841491e+01    6.4000000000e+01   -1.2553758265e-22
