#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
   0.0000000   -3.2200969661e-05    1.3276511175e-17   -1.8782093968e-07    4.3727304582e-17
   0.2500000   -3.1614802149e-05    6.5571749659e-16   -1.2833865783e-07    7.4649734522e-18
   0.5000000   -3.1031757369e-05    2.9408816431e-16   -7.3131624745e-08    1.2545118207e-15
   0.7500000   -3.0451955764e-05   -2.4913980263e-17   -2.8301907954e-08   -8.2171047832e-16
   1.0000000   -2.9875524607e-05   -1.0035283286e-15    1.8663067782e-09   -1.0030270145e-15
   1.2500000   -2.9302598316e-05    1.3779016864e-15    1.7223255693e-08    1.5283706152e-15
   1.5000000   -2.8733318615e-05    1.2949651074e-16    2.7269346079e-08    1.0328862303e-15
   1.7500000   -2.8167834944e-05    2.5015209553e-15    4.4067215222e-08   -9.3796486004e-16
   2.0000000   -2.7606304799e-05    1.5021881839e-15    7.2162777300e-08   -3.1235328717e-15
